Date,Residuals
2014-01-01,3526.8215810923575
2014-02-01,-20609.70068949274
2014-03-01,-12878.388388093867
2014-04-01,-7443.014126469236
2014-05-01,32599.82529269353
2014-06-01,5141.057463594214
2014-07-01,506.55387255543246
2014-08-01,8406.736835469288
2014-09-01,9739.009624763548
2014-10-01,-89.97976576329529
2014-11-01,-28083.62490549537
2014-12-01,-14365.116466029183
2015-01-01,-11600.51816535987
2015-02-01,28763.04373730768
2015-03-01,-6148.790338890372
2015-04-01,10247.800570617736
2015-05-01,5679.721210027521
2015-06-01,8224.070599702733
2015-07-01,-24479.42024898533
2015-08-01,-219.1263542621964
2015-09-01,-5978.7230319214505
2015-10-01,28379.241502230783
2015-11-01,2127.166469267988
2015-12-01,-10665.46042015235
2016-01-01,9433.333450349142
2016-02-01,14093.8115443579
2016-03-01,-21675.44647196923
2016-04-01,22524.333875660042
2016-05-01,10749.898810076946
2016-06-01,1942.6159240819688
2016-07-01,-14319.100509904343
2016-08-01,10715.574300887572
2016-09-01,3789.1004647620503
2016-10-01,-930.5950779042832
2016-11-01,-16285.809210476982
2016-12-01,-14667.034833155449
2017-01-01,-43562.370940073466
2017-02-01,-50981.715042555195
2017-03-01,-44165.846926837505
2017-04-01,14973.834240470489
2017-05-01,-17076.18290089925
2017-06-01,9037.41581002652
2017-07-01,-6921.27734605196
2017-08-01,6246.116849683196
2017-09-01,17183.64850616671
2017-10-01,2956.590055067496
2017-11-01,3443.1300032394574
2017-12-01,-13428.574330014315
2018-01-01,10725.314305147345
2018-02-01,-7930.929896395479
2018-03-01,-14161.294910401535
2018-04-01,18919.23399566974
2018-05-01,6086.937366699705
2018-06-01,-14954.363627149025
2018-07-01,-2483.030534588099
2018-08-01,11684.920565339744
2018-09-01,15424.478720567196
2018-10-01,-3512.776636789127
2018-11-01,7742.034499632326
2018-12-01,-9430.190474522624
2019-01-01,9632.693673057816
2019-02-01,19279.322178722825
2019-03-01,-2043.2117592094546
2019-04-01,6353.8939789777505
2019-05-01,5010.6558709840465
2019-06-01,1759.5110494252804
2019-07-01,-42204.899907791216
2019-08-01,-688.9001888465427
2019-09-01,-1202.2288588926313
2019-10-01,3039.5660556167422
2019-11-01,1739.5275619625972
2019-12-01,-824.9248064160493
2020-01-01,-40885.832907185366
2020-02-01,4090.0089356964745
2020-03-01,10172.501610112173
2020-04-01,-15139.73639682577
2020-05-01,25164.51230598791
2020-06-01,4251.859577291558
2020-07-01,-345.3296806203398
2020-08-01,8697.544722694041
2020-09-01,10300.630197471011
2020-10-01,3571.4278689765124
2020-11-01,-12740.674732508818
2020-12-01,-2328.5057135696916
2021-01-01,-24662.20225514201
2021-02-01,-24964.139639535257
2021-03-01,-47925.47978331783
2021-04-01,12161.493609560406
2021-05-01,-8998.60838707479
2021-06-01,-6915.165380933693
2021-07-01,-14515.530322952953
2021-08-01,11370.278464537012
2021-09-01,16659.669279247413
2021-10-01,-1718.0073807493209
2021-11-01,-5351.036660740359
2021-12-01,-45056.45149580548
2022-01-01,15975.276184167902
2022-02-01,-1023.6188752057424
2022-03-01,-18619.06365172058
2022-04-01,10942.257988477533
2022-05-01,-26362.59240153822
2022-06-01,-38574.469340255266
2022-07-01,-18336.94400745546
2022-08-01,2875.1449359950493
2022-09-01,-19819.4042155453
2022-10-01,-2780.1561777768366
2022-11-01,14461.051095203467
2022-12-01,-23053.821067243916
2023-01-01,-6981.548309477825
2023-02-01,-14207.162146060546
2023-03-01,-34937.6118438838
2023-04-01,-7720.376248299806
2023-05-01,222.22364081417618
2023-06-01,-261.2858827920936
2023-07-01,4441.871088093692
2023-08-01,-3182.4744141988413
2023-09-01,9822.30837731692
2023-10-01,-27791.534698194955
2023-11-01,-48712.00122290941
2023-12-01,-47171.46753906369
2024-01-01,-32338.865665503305
2024-02-01,-31352.038130647117
2024-03-01,-15922.777970512223
2024-04-01,5328.8522536947785
2024-05-01,11300.693435393732
2024-06-01,5091.186171029811
2024-07-01,-34234.05099769681
2024-08-01,-29552.84675972668
2024-09-01,5366.085789182369
2024-10-01,2418.9546567936995
2024-11-01,6974.8559343992965
2024-12-01,-18646.19136639087
